efc360ae-b1c5-447e-bd1d-8b4d4fff6415,Medium,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code. (B101),ai-teddy-bear-,Codacy,2025-07-03T17:26:12.423Z,2025-07-03T19:31:11.372Z,,320,tests/test_comprehensive_frontend.py,Prospector_bandit
f82e175c-da30-4d83-8d8f-eb5bccd505c8,Medium,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,ai-teddy-bear-,Codacy,2025-07-03T17:26:12.423Z,2025-07-03T20:00:58.940Z,,181,tests/unit/test_clean_container.py,Bandit_B101
27e8e7d7-052d-4472-a719-43018c0a349e,Medium,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,ai-teddy-bear-,Codacy,2025-07-03T17:26:12.423Z,2025-07-03T20:00:58.940Z,,77,tests/performance/test_system_performance.py,Bandit_B101
e53004f5-5b3b-4036-94fa-1dfe7cf77cf3,Medium,"Try, Except, Pass detected. (B110)",ai-teddy-bear-,Codacy,2025-07-03T17:26:12.423Z,2025-07-03T19:31:11.372Z,,269,chaos/actions/recovery.py,Prospector_bandit
7e8f6461-910c-4469-ad06-31c943003315,Medium,Use of weak MD5 hash for security. Consider usedforsecurity=False (B324),ai-teddy-bear-,Codacy,2025-07-03T17:26:12.423Z,2025-07-03T19:31:11.372Z,,152,src/application/services/ai/caching/response_cache.py,Prospector_bandit
60acee97-be87-4ae3-a7b6-a7d5a7525c94,Critical,Use of weak MD5 hash for security. Consider usedforsecurity=False,ai-teddy-bear-,Codacy,2025-07-03T17:26:12.423Z,2025-07-03T20:00:58.940Z,,151,src/application/services/ai/caching/response_cache.py,Bandit_B324
d5877924-dc70-4e98-b2fd-884ea40d09a1,Medium,"Try, Except, Pass detected.",ai-teddy-bear-,Codacy,2025-07-03T17:26:12.423Z,2025-07-03T20:00:58.940Z,,132,src/application/services/ai/caching/response_cache.py,Bandit_B110
24637e5c-3577-45c2-9e72-a21e82d22819,Medium,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code. (B101),ai-teddy-bear-,Codacy,2025-07-03T17:26:12.423Z,2025-07-03T22:43:31.881Z,,247,test_bumpy_road_transcription_fix.py,Prospector_bandit
e2525541-eb84-488a-bd47-d2ceb4bb1869,Medium,"Try, Except, Pass detected.",ai-teddy-bear-,Codacy,2025-07-03T17:26:12.423Z,2025-07-03T20:00:58.940Z,,269,chaos/actions/recovery.py,Bandit_B110
3c935890-366a-4a89-9243-a584308c5d18,Medium,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code. (B101),ai-teddy-bear-,Codacy,2025-07-03T17:26:12.423Z,2025-07-03T22:43:31.881Z,,99,test_bumpy_road_transcription_fix.py,Prospector_bandit
